,w1,w2,b,loss_log_decay,estimated_log_decay,alg
0,1.0976270078546495,1.430378732744839,1.2055267521432877,0.8106523,0.8106767800988479,FedAvg
1,0.834044009405148,1.4406489868843162,0.00022874963468977327,0.8645704,0.8648622076214051,FedAvg
2,0.8719898042840075,0.051852463655782666,1.0993249557574183,0.6280932,0.6280717065469329,FedAvg
3,1.101595805149151,1.4162956452362097,0.5818094778258887,0.87473303,0.8748496343544927,FedAvg
4,1.9340596780273533,1.0944644983514447,1.9453687199297687,0.755018,0.7550357406607738,FedAvg
5,0.44398634217947897,1.7414646123547528,0.41343831067885284,0.8836953,0.8852341495788543,FedAvg
6,1.7857203028720032,0.6639596106023544,1.6424582461156636,0.74532264,0.7453497065780554,FedAvg
7,0.15261657874791434,1.5598375844802292,0.876818462881787,0.8053312,0.8055561352030088,FedAvg
8,1.7468588055836325,1.937081325641864,1.73838908042784,0.89621055,0.8962845840247586,FedAvg
9,0.02074830777139991,1.0037491842974775,0.9915465862682922,0.6606271,0.6606270576726565,FedAvg
10,1.542641286533492,0.041503898718803,1.2672964698525508,0.73173285,0.7317558643058155,FedAvg
11,0.3605393777535384,0.03895048297524917,0.9264370529966892,0.60490876,0.6050745239513724,FedAvg
12,0.30832568475934474,1.4800993930308095,0.5266300303702693,0.8253288,0.825628542797901,FedAvg
13,1.5554048211476403,0.4750824400698246,1.648557065322737,0.6629233,0.6628824144898698,FedAvg
14,1.0278866875453805,1.5463301041585935,1.7408553714496253,0.6961564,0.6961289032667517,FedAvg
15,1.6976353945371574,0.35779184984199697,0.10872642861286286,0.87727356,0.8786175234214827,FedAvg
16,0.4465821583070777,1.0463266828013522,1.1014029131623622,0.67287374,0.6727983554203116,FedAvg
17,0.5893300053742194,1.0611735112105882,0.3830415738949897,0.7708795,0.7708841003011946,FedAvg
18,1.3007484834791834,1.0109067474696858,1.7572029418431039,0.63604856,0.6360764096442997,FedAvg
19,0.19506720349890316,1.5224994333497126,0.4938759463326541,0.8305352,0.8309413712641646,FedAvg
20,1.1762616021545484,1.795427455818836,1.783061458949416,0.775424,0.7754454077261954,FedAvg
21,0.09744976161825458,0.5782193195796337,1.4419326936624597,0.5672385,0.5664335221223349,FedAvg
22,0.41692107471768525,0.9633621235267318,0.8410760706287495,0.69584596,0.6958220980191985,FedAvg
23,1.0345957676931785,1.8939252076296282,1.5309195187938138,0.84052265,0.8408424473110683,FedAvg
24,1.920034606671837,1.399024099899152,1.9997345852477584,0.78938866,0.789415073804096,FedAvg
25,1.7402482732544238,1.1645538573451195,0.5576778814021381,0.9180882,0.9190180354552449,FedAvg
26,0.6158699052499417,1.0387829586106014,1.5365953230759468,0.60516757,0.6052321640576301,FedAvg
27,0.8514428210377916,1.6291674809891052,1.4707945803993592,0.76753265,0.7675647742949424,FedAvg
28,1.4580274845782382,1.1224792046552823,0.2499341840184819,0.8915365,0.8917263717050447,FedAvg
29,1.7275199711401659,0.5698119304552536,0.14651277616747205,0.8906393,0.8921780463571367,FedAvg
30,1.28828707213667,0.7614969792702331,1.3260958106713372,0.7065731,0.7065544330037745,FedAvg
31,0.5721076433210313,1.916211133038,1.540625864437756,0.80150676,0.8017155171142758,FedAvg
32,1.7177785345860794,0.7454223099505599,1.1102575559971934,0.84641314,0.8468583207455211,FedAvg
33,0.49702025487545987,0.8999508421015909,0.8218816059930816,0.6949074,0.694854821074907,FedAvg
34,0.07712336176281931,1.56020092104935,0.18540751066826666,0.8423991,0.8430211321226184,FedAvg
35,0.9161098964481811,0.6166992139298233,0.46297409007112456,0.74442124,0.7444074469244553,FedAvg
36,1.4570143831914513,1.2032284247404266,1.9043613348120274,0.65850765,0.6585229688238281,FedAvg
37,1.8889932057146137,0.9281963486088152,0.3855900579143152,0.9229013,0.9252529971371034,FedAvg
38,0.7695462390334875,1.719415693181238,1.8883992716148401,0.66590714,0.6658733927481137,FedAvg
39,1.0937783122907094,1.5957980425652105,1.6408037597967626,0.748227,0.7482283841917868,FedAvg
40,0.8153740561605722,0.11073208022372016,1.5770697549735053,0.564623,0.5646172864465374,FedAvg
41,0.5018472474898803,0.09219164134522351,1.3536324822211168,0.5712613,0.5717055240213795,FedAvg
42,0.749080237694725,1.9014286128198323,1.4639878836228102,0.82844377,0.8288009066731562,FedAvg
43,0.2301091327795579,1.2181330785589628,0.26678192837197656,0.77698857,0.7770392638644297,FedAvg
44,1.6696842973312989,0.2095922087397395,1.4892809633590356,0.72127795,0.7212925582941616,FedAvg
45,1.9780230269512002,1.0990894536894509,0.5628946039101257,0.9344348,0.9369403064590278,FedAvg
46,1.5676647016115013,1.2696674121054603,0.49808618303149776,0.9104489,0.9106810505178623,FedAvg
47,0.22697694378729905,1.9489661888729133,1.4574692670022125,0.8104228,0.8107783605921122,FedAvg
48,0.03498054186230526,1.7831465343605168,0.5697223349478366,0.8720301,0.8736376080596197,FedAvg
49,0.6019289117118292,0.49412366392362883,1.8526702701183513,0.5448134,0.5395582659845954,FedAvg
